id,code,name,menudeo,mayoreo,empaque,stock
1,ACU-006,ACUARELA BOMBIN C/12,10,9,9,0
2,BOA-010,DOMINO,22,20,15,0
3,CAL-001,CALCULADORA CIENTIFICA CASIO FX82LAPLUS,200,195,185,0
4,COMISION,COMISION BANCARIA,0,0,0,0
5,GTZ-040,CINTA DECORADA DIUREX PAQUETE C/12 PZS.,18,15,12.76,0
6,MAM-016,MASA MOLDEABLE PLAY-DOH C/4,75,70,68,26
7,MAM-018,MASA MOLDEABLE PLAY-DOH C/4 (INDIVIDUAL),68,66,65,0
8,MIC-004,FORRO PARA CUADERNO PROFESIONAL ESCOLAR C/25,44,40,40,0
9,MLA-004,MINAS P/LAPICERO 0.7 MM HB BEROL,0,0,0,0
10,PENPRO,PENDIENTE A PROVEEDOR,0,0,0,0
11,SALPEN,SALDO PENDIENTE DE CLIENTE NOTA,0,0,0,0
12,UHU-001,UHU 20 ML,30,28,28,0
13,UHU-002,UHU 7 ML TIRA DE 10PZ,170,178,178,0
14,UHU-003,UHU 35ML,49.58,43.75,41.32,0
15,HEN-001,LPZ ADHESIVO PRITT 11 GR C/12,120.8,110.5,103,30
16,HEN-002,LPZ ADHESIVO PRITT 22 GR C/12,223.8,204.7,190.8,30
17,HEN-003,LPZ ADHESIVO PRITT 42 GR C/5,171.5,156.8,146.1,33
18,HEN-004,LPZ ADHESIVO BULLY 11 GR C/12,72.4,66.2,61.7,24
19,HEN-005,LPZ ADHESIVO BULLY 22 GR C/12,132.1,120.9,112.6,14
20,HEN-006,LPZ ADHESIVO BULLY 38 GR C/5,77,70.5,65.6,17
21,HEN-007,LPZ ADHESIVO PRITT BLISTER 11GR,16.5,14.3,12.3,0
22,HEN-008,LPZ ADHESIVO PRITT BLISTER 22 GR,25,23,21.5,0
23,HEN-009,LPZ ADHESIVO PRITT BLISTER 42 GR,55.1,49.6,40.8,0
24,HEN-010,LPZ ADHESIVO RESISTOL 10 GRS C/12,95,90,84,0
25,HEN-011,PRITT TAK 35 GR,31.8,29.1,27.1,67
26,HEN-012,RESISTOL 850 BLANCO 35GR,9.8,9,8.4,180
27,HEN-013,RESISTOL 850 BLANCO 55GR,14.6,13.4,12.4,106
28,HEN-014,RESISTOL 850 BLANCO 110GR,20.3,18.6,17.3,85
29,HEN-015,RESISTOL 850 BLANCO 225GR,37,33.9,31.6,91
30,HEN-016,RESISTOL 850 BLANCO 500GR,62.3,57,53.1,21
31,HEN-017,RESISTOL 850 BLANCO 1 KG,104.3,95.4,88.9,11
32,HEN-018,BULLY PVA BLANCO 35GR C/12,6.7,6.1,5.7,96
33,HEN-019,BULLY PVA BLANCO 55GR C/12,9.4,8.6,8,183
34,HEN-020,BULLY PVA BLANCO 110GR,12.8,11.7,10.9,122
35,HEN-021,BULLY PVA BLANCO 225GR,22.3,20.4,19,107
36,HEN-022,BULLY PVA BLANCO 490GR,40.1,36.7,34.2,21
37,HEN-023,BULLY PVA BLANCO 1 KG,67.1,61.4,57.2,20
38,HEN-024,RESISTOL 5000 21 ML,31.5,28.7,24,51
39,HEN-025,PEGAMENTO RESISTOL 911 C/2 TUBOS DE 1G C/U,31.5,28.7,23.2,0
40,HEN-026,RESISTOL 5000 LATA 135ML,77,67.8,64.1,0
41,HEN-027,RESISTOL 5000 LATA 250 ML,108.5,95.8,90.5,0
42,HEN-028,RESISTOL 5000 LATA 500 ML,157.5,139,131.5,0
43,HEN-029,RESISTOL 5000 LATA 1 LITRO,245,216.5,204.3,0
44,HEN-030,RESISTOL 911 TIRA C/12 TUBOS DE 1G C/U,125,120,115,0
45,HEN-031,RESISTOL 911 ULTRA  PROFESIONAL C/20GRS,55,50,47.5,0
46,HEN-032,RESISTOL 911 BROCHA C/1 DE  5 GR.,30.5,26.5,25.75,0
47,HEN-033,CHAROLA DE PRITT 11 GRS C/12,100,84,78,32
48,BIL-004,MARKADATA PELIKAN FINO DETECTOR DE  BILLETES  1PZ,22,19.4,18.3,1
49,BIL-015,MARKADATA PELIKAN DETECTOR DE   BILLETES  C/10,209.6,184.9,174.6,42
50,BOL-001,BOLIGRAFO POINTEC  AZ C/12,39.3,34.7,32.8,0
51,BOL-002,BOLIGRAFO POINTEC  NG C/12,39.3,34.7,32.8,0
52,BOL-003,BOLIGRAFO POINTEC  RJ C/12,39.3,34.7,32.8,6
53,BOL-004,BOLIGRAFO POINTEC  POLYBAG C/10  COL. SURTIDOS,45.5,40.2,37.9,0
54,BOL-064,BOLIGRAFO SOFT GEL EST C/10,130,112,110,0
55,BOR-001,LPZ BORR.  T  C/12,198.2,174.9,165.2,34
56,BOR-002,LPZ BORR CLICK ERASER OFICINA C/12,299.3,264.1,249.4,0
57,BOR-003,LPZ BORR CLICK ERASER ESCOLAR C/12,299.3,264.1,249.4,0
58,CAM-015,ACUARELA CAMY C/12,12,10.6,10,126
59,CAM-016,PLASTILINA CAMY C/10 BARRAS COL. SURT.,11.8,10.3,9.8,97
60,CAM-105,SILICON LIQUIDO CAMY 30 ML,7.5,6.5,6.1,103
61,CAM-106,SILICON LIQUIDO CAMY 100 ML,16.5,15,14,49
62,CAM-107,SILICON LIQUIDO CAMY 250 ML,31,28,27,32
63,CAM-108,MARCATEXTOS CAMY CAJA C/10 ROSA,52,47,45,67
64,CAM-109,MARCATEXTOS CAMY CAJA C/10 NARANJA,52,47,45,58
65,CAM-110,MARCATEXTOS CAMY CAJA C/10 AMARILLO,52,47,45,64
66,CAM-111,MARCATEXTOS CAMY CAJA C/10 VERDE,52,47,45,46
67,CAM-112,MARCATEXTOS CAMY CAJA C/10 AZUL,52,47,45,43
68,CAM-113,MARCADOR PERMA CAMY CAJAC/10 NEGRO,54,49,47,31
69,CAM-114,MARCADOR PERMA CAMY CAJAC/10 ROJO,54,49,47,12
70,CAM-115,MARCADOR PERMA CAMY CAJAC/10 AZUL,54,49,47,12
71,CEC-001,CERA D2 C/12,153.3,135.3,127.8,0
72,CLB-007,CLIP PELIKAN  NO. 1 CJA.  C/1000,11.4,10.1,9.5,0
73,CLB-008,CLIP PELIKAN  NO. 2 CJA.  C/1000,10.5,9.3,8.8,0
74,COR-001,CORRECTOR BASE AGUA AQUA FLUID C/10,97.5,94,86.5,0
75,COR-002,PROMOCION AQUA FLUID C/10+2,99.4,87.7,82.8,30
76,COR-003,PLUMA CORRECTORA CORRECTO CAJA C/12,271,239.1,225.9,0
77,COR-004,CORRECTOR DE CINTA BLANCO FANCY ROLLER C/21,506,498,496,0
78,COR-016,PROMOCION PLUMA CORRECTORA PELIKAN/POINTEC,213,206,202,0
79,CRA-001,PELICRAYONES JUMBO C/24,71.8,63.3,59.8,39
80,CRA-002,PELICRAYONES JUMBO C/12,32,28.2,26.6,45
81,CRA-003,PELICRAYONES REGULAR C/12,18.1,16,15.1,27
82,CRA-004,PELICRAYONES JUMBO TRIANG C/28,110.7,97.7,92.3,14
83,CRA-005,PELICRAYONES JUMBO REDONDO C/28,99.6,87.9,83,16
84,CRA-006,PELICRAYON JUMBO TRIANG C/12,35,30.9,29.2,51
85,CRA-021,PELICRAYONES JUMBO TRIANG PASTEL C/6,20.8,18.3,17.3,38
86,CRA-022,PELICRAYONES JUMBO TRIANG METALICO C/6,28.2,25.6,24.3,21
87,CRA-023,PELICRAYONES JUMBO TRIANG COLOR MIX C/6,19.2,17.9,16.7,22
88,CRA-025,PELICRAYONES JUMBO TRIANG GLITTER C/6,28.2,23.7,23,7
89,GEL-001,GEL ANTIBACTERIAL PARA MANOS PELIKAN 250ML,34,32,31,4
90,GOM-001,GOMA  BR 40,215,193,183,2
91,GOM-002,GOMA  BR 80,215,193,183,3
92,GOM-003,GOMA WS 20,116.9,103.2,97.4,21
93,GOM-004,GOMA WS 30,116.9,103.2,97.4,30
94,GOM-005,PROMOCION GOMA WS 30,197,185.6,178,0
95,GOM-006,GOMA WS 60,116.9,103.2,97.4,26
96,GOM-007,PROMOCION GOMA WS 60,197,185.6,178,0
97,GOM-008,GOMA M 20,111.1,98,92.5,19
98,GOM-009,PROMOCION GOMA M 20,190,179,171,0
99,GOM-010,GOMA M 40,111.1,98,92.5,15
100,GOM-011,GOMA CS 30,82.8,78.2,72.5,16
101,GOM-012,GOMA PELIKID COLORES C/60,91.4,89,85.4,0
102,GOM-013,PROMOCION GOMA PELIKID COLORES C/60,189.7,180.3,174.4,0
103,GOM-014,GOMA ERGUS C/20,137.9,121.6,114.9,0
104,GOM-015,GOMA STRIKE 20,115,100,98,34
105,GOM-016,PROMOCION GOMA STRIKE 20 C/COLORELLA,251.2,196,185.6,9
106,GOM-017,PROMOCION GOMA STRIKE 20 C/LAPIZ,251.1,240.8,228,0
107,GOM-018,GOMA STRIKE 40,110,97,95.3,35
108,GOM-035,TEMPERA PARA CARTEL ESCOLAR C/6 20ML,54.7,48.3,45.6,2
109,GOM-038,GOMA PELIKAN FANCY C/2,18.4,16.1,13.8,0
110,GOM-039,BARRIL 10 GOMAS WS 20,48.7,46.3,44,24
111,GOM-040,BARRIL 15 GOMAS WS 30,54.8,48.4,45.7,0
112,GOM-041,BARRIL 30 GOMAS WS 60,66.9,59,55.7,6
113,GOM-042,BARRIL 30 GOMAS PELIKID,66.7,58.9,55.6,15
114,GOM-043,BARRIL 15 GOMAS PASTEL,55.3,48.8,46.1,6
115,GOM-045,PROMOCION GOMA WS 30 C/TIJERA,222.8,196.6,185.6,0
116,GOM-047,GOMA WS 30 SUELTA,111.4,98.3,92.8,0
117,JGR-001,JUEGO GEOMETRICO MEDIANO PELIKAN,47.2,41.6,39.3,0
118,LAC-001,ET PROMOCIONAL LAPICES PELIKAN DE COLORES DE LATA,50,47,43,0
119,LAC-002,LPZ COLORES PELIKAN DOBLE 12=24 LARGOS,77,68,64.2,26
120,LAC-003,LPZ COLORES PELIKAN C/12+1LARGOS,56.3,49.7,46.9,49
121,LAC-004,LPZ COLORES PELIKAN C/24 LARGOS,112.9,99.6,94.1,32
122,LAC-005,LPZ COLORES PELIKAN C/36 LARGOS,184.8,163.1,154,15
123,LAC-006,LPZ COLORES PELIKAN TRIANG C/12+1LARGOS,59.1,52.1,49.2,54
124,LAC-007,LPZ COLORES PELIKAN TRIANG C/24 LARGOS,118.6,104.7,98.9,45
125,LAC-008,LPZ COLORES PELIKAN TRIANG JUMBO C/12,122.5,108.1,102.1,25
126,LAC-009,LPZ COLORES PELIKAN TRIANG JUMBO CUERPO MADERA C/1,130,121,119,0
